ID,ProfileID,ListID,EntryEventTypeID,LegalBasisID,Comment,Year,Month,Day,SanctionsMeasureID,SanctionsTypeID,SanctionsMeasureComment,YearFixed,MonthFixed,DayFixed
6366,6366,1550,1,1828,,1998,8,21,8885,1705,,true,true,true
6366,6366,1550,1,1828,,1998,8,21,126940,1,FTO,true,true,true
6366,6366,1550,1,1828,,1998,8,21,126941,1,SDGT,true,true,true
6367,6367,1550,1,1828,,1998,8,21,3933,1705,,true,true,true
6367,6367,1550,1,1828,,1998,8,21,126943,1,SDGT,true,true,true
6368,6368,1550,1,1828,,1998,8,21,8182,1705,,true,true,true
6368,6368,1550,1,1828,,1998,8,21,154029,1,SDGT,true,true,true
6531,6531,1550,1,1,,1999,6,8,9306,1705,,true,true,true
6531,6531,1550,1,1,,1999,6,8,127011,1,SDNT,true,true,true
6539,6539,1550,1,1,,1999,6,8,9109,1705,,true,true,true
6539,6539,1550,1,1,,1999,6,8,127019,1,SDNT,true,true,true
6550,6550,1550,1,1,,1999,6,8,8205,1705,,true,true,true
6550,6550,1550,1,1,,1999,6,8,127030,1,SDNT,true,true,true
6635,6635,1550,1,1,,2002,7,3,7858,1705,,true,true,true
6635,6635,1550,1,1,,2002,7,3,127054,1,SDGT,true,true,true
6636,6636,1550,1,1,,1999,7,6,5166,1705,,true,true,true
6636,6636,1550,1,1,,1999,7,6,127055,1,SDGT,true,true,true
6663,6663,1550,1,1,,2000,2,22,4679,1705,,true,true,true
6663,6663,1550,1,1,,2000,2,22,127062,1,SDNT,true,true,true
6680,6680,1550,1,1,,2000,2,22,5418,1705,,true,true,true
6680,6680,1550,1,1,,2000,2,22,127079,1,SDNT,true,true,true
6703,6703,1550,1,1,,2000,6,1,7029,1705,,true,true,true
6703,6703,1550,1,1,,2000,6,1,127089,1,SDNTK,true,true,true
6704,6704,1550,1,1,,2000,6,1,5899,1705,,true,true,true
6704,6704,1550,1,1,,2000,6,1,127090,1,SDNTK,true,true,true
6706,6706,1550,1,1,,2000,6,1,7448,1705,,true,true,true
6706,6706,1550,1,1,,2000,6,1,127091,1,SDNTK,true,true,true
6707,6707,1550,1,1,,2000,6,1,5706,1705,,true,true,true
6707,6707,1550,1,1,,2000,6,1,127092,1,SDNTK,true,true,true
6708,6708,1550,1,1,,2000,6,1,3944,1705,,true,true,true
6708,6708,1550,1,1,,2000,6,1,127093,1,SDNTK,true,true,true
6709,6709,1550,1,1,,2000,6,1,6975,1705,,true,true,true
6709,6709,1550,1,1,,2000,6,1,127094,1,SDNTK,true,true,true
6710,6710,1550,1,1,,2000,6,1,4941,1705,,true,true,true
6710,6710,1550,1,1,,2000,6,1,127095,1,SDNTK,true,true,true
6712,6712,1550,1,1,,2000,6,1,7813,1705,,true,true,true
6712,6712,1550,1,1,,2000,6,1,127097,1,SDNTK,true,true,true
6713,6713,1550,1,1,,2000,6,1,4725,1705,,true,true,true
6713,6713,1550,1,1,,2000,6,1,127098,1,SDNTK,true,true,true
6714,6714,1550,1,1,,2000,6,1,8445,1705,,true,true,true
6714,6714,1550,1,1,,2000,6,1,127099,1,SDNTK,true,true,true
6715,6715,1550,1,1,,2000,6,1,9131,1705,,true,true,true
6715,6715,1550,1,1,,2000,6,1,127100,1,SDNTK,true,true,true
6717,6717,1550,1,1,,2000,8,18,4803,1705,,true,true,true
6717,6717,1550,1,1,,2000,8,18,127101,1,SDNT,true,true,true
6718,6718,1550,1,1,,2000,8,18,4145,1705,,true,true,true
6718,6718,1550,1,1,,2000,8,18,127102,1,SDNT,true,true,true
6719,6719,1550,1,1,,2000,8,18,6460,1705,,true,true,true
6719,6719,1550,1,1,,2000,8,18,127103,1,SDNT,true,true,true
6720,6720,1550,1,1,,2000,8,18,9130,1705,,true,true,true
6720,6720,1550,1,1,,2000,8,18,127104,1,SDNT,true,true,true
6721,6721,1550,1,1,,2000,8,18,6348,1705,,true,true,true
6721,6721,1550,1,1,,2000,8,18,127105,1,SDNT,true,true,true
6722,6722,1550,1,1,,2000,8,18,6615,1705,,true,true,true
6722,6722,1550,1,1,,2000,8,18,127106,1,SDNT,true,true,true
6723,6723,1550,1,1,,2000,8,18,5360,1705,,true,true,true
6723,6723,1550,1,1,,2000,8,18,127107,1,SDNT,true,true,true
6724,6724,1550,1,1,,2000,8,18,8467,1705,,true,true,true
6724,6724,1550,1,1,,2000,8,18,127108,1,SDNT,true,true,true
6725,6725,1550,1,1828,,2000,9,15,1879,1705,,true,true,true
6725,6725,1550,1,1828,,2000,9,15,127109,1,FTO,true,true,true
6725,6725,1550,1,1828,,2000,9,15,127110,1,SDGT,true,true,true
6726,6726,1550,1,1,,2000,12,7,7471,1705,,true,true,true
6726,6726,1550,1,1,,2000,12,7,127111,1,SDNT,true,true,true
6823,6823,1550,1,1,,2001,4,24,5240,1705,,true,true,true
6823,6823,1550,1,1,,2001,4,24,127127,1,SDNT,true,true,true
6824,6824,1550,1,1,,2001,4,24,9127,1705,,true,true,true
6824,6824,1550,1,1,,2001,4,24,127128,1,SDNT,true,true,true
6826,6826,1550,1,1,,2001,4,24,4538,1705,,true,true,true
6826,6826,1550,1,1,,2001,4,24,127130,1,SDNT,true,true,true
6831,6831,1550,1,1,,2001,4,24,7432,1705,,true,true,true
6831,6831,1550,1,1,,2001,4,24,129631,1,SDNT,true,true,true
6832,6832,1550,1,1,,2001,4,24,3982,1705,,true,true,true
6832,6832,1550,1,1,,2001,4,24,127136,1,SDNT,true,true,true
6853,6853,1550,1,1828,,2001,5,16,6517,1705,,true,true,true
6853,6853,1550,1,1828,,2001,5,16,127157,1,FTO,true,true,true
6853,6853,1550,1,1828,,2001,5,16,127158,1,SDGT,true,true,true
6856,6856,1550,1,1,,2001,6,1,6358,1705,,true,true,true
6856,6856,1550,1,1,,2001,6,1,127160,1,SDNTK,true,true,true
6857,6857,1550,1,1,,2001,6,1,5227,1705,,true,true,true
6857,6857,1550,1,1,,2001,6,1,127161,1,SDNTK,true,true,true
6858,6858,1550,1,1,,2001,6,1,9110,1705,,true,true,true
6858,6858,1550,1,1,,2001,6,1,127162,1,SDNTK,true,true,true
