FixedRef,ProfileID,PartySubTypeID,IdentityID,FixedRef,Primary,False,AliasFixedRef,AliasTypeID,Primary,LowQuality,DocumentedNameID,FixedRef,DocNameStatusID,NamePartValue,NamePartGroupID,ScriptID,ScriptStatusID,Acronym,FeatureID,FeatureTypeID,FeatureVersionID,ReliabilityID,Comment,VersionLocationID,NamePartTypeID
1571,1571,3,4078,1571,true,false,1571,1403,true,false,4078,1571,1,NORDSTRAND MARITIME AND TRADING COMPANY,6312,215,1,false,151007,25,201007,1,,1007,1525
1641,1641,3,4088,1641,true,false,1641,1403,true,false,4088,1641,1,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,6327,215,1,false,151052,25,201052,1,,1052,1525
1660,1660,3,4097,1660,true,false,1660,1403,true,false,4097,1660,1,"PESCABRAVA, S.A.",6341,215,1,false,151069,25,201069,1,,1069,1525
1700,1700,3,4103,1700,true,false,1700,1403,true,false,4103,1700,1,PRELASA,6348,215,1,false,151100,25,201100,1,,1100,1525
1701,1701,3,4109,1701,true,false,1701,1403,true,false,4109,1701,1,PRENSA LATINA CANADA LTD.,6357,215,1,false,151101,25,201101,1,,1101,1525
1702,1702,3,4110,1702,true,false,1702,1403,true,false,4110,1702,1,PRENSA LATINA,6358,215,1,false,151102,25,201102,1,,1102,1525
1888,1888,3,4132,1888,true,false,1888,1403,true,false,4132,1888,1,"SERVINAVES, S.A.",6390,215,1,false,151237,25,201237,1,,1237,1525
2109,2109,3,4404,2109,false,false,2109,1400,false,false,13215,2109,2,"TROVER, S.A.",19439,215,1,false,151394,25,201394,1,,1394,1525
2110,2110,3,4405,2110,false,false,2110,1400,false,false,13216,2110,2,TROPICANA TOURS GMBH,19440,215,1,false,151395,25,201395,1,,1395,1525
2184,2184,3,4412,2184,true,false,2184,1403,true,false,4412,2184,1,"VIAJES GUAMA, S.A.",6753,215,1,false,151430,25,201430,1,,1430,1525
2186,2186,3,4413,2186,true,false,2186,1403,true,false,4413,2186,1,VINALES TOURS,6754,215,1,false,151431,25,201431,1,,1431,1525
2674,2674,4,4420,2674,false,false,2674,1400,false,false,13218,2674,2,ZAYDAN,19444,215,1,false,1000,8,3550,1,,,1521
2675,2675,4,4421,2675,true,false,2675,1403,true,false,4421,2675,1,AL RAHMAN,71645,215,1,false,1001,8,3551,1,,,1521
2676,2676,4,4422,2676,false,false,2676,1400,false,false,13221,2676,2,AL-ZAWAHIRI,19450,215,1,false,1003,8,3553,1,,,1521
2677,2677,4,4423,2677,false,false,2677,1400,false,false,44102,2677,2,Al-Zamur,83910,215,1,false,1005,9,3555,1,,,1521
2678,2678,4,4424,2678,true,false,2678,1403,true,false,4424,2678,1,AWDA,71651,215,1,false,1006,8,3556,1,,,1521
2679,2679,4,4425,2679,true,false,2679,1403,true,false,4425,2679,1,FADLALLAH,71613,215,1,false,1007,8,3557,1,,,1521
2681,2681,4,4427,2681,false,false,2681,1400,false,false,13226,2681,2,KHALID,19460,215,1,false,1009,8,3560,1,,,1521
2682,2682,4,4428,2682,true,false,2682,1403,true,false,4428,2682,1,ISLAMBOULI,71619,215,1,false,1010,8,3561,1,,,1521
2683,2683,4,4429,2683,false,false,2683,1400,false,false,13227,2683,2,JIBRIL,19462,215,1,false,1012,8,3563,1,,,1521
2685,2685,4,4431,2685,true,false,2685,1403,true,false,4431,2685,1,NAJI,71621,215,1,false,1016,8,3567,1,,,1521
2686,2686,4,4432,2686,false,false,2686,1400,false,false,16027,2686,2,NASRALLAH,24347,215,1,false,1018,8,3569,1,,,1522
2690,2690,4,4436,2690,true,false,2690,1403,true,false,4436,2690,1,TUFAYLI,71625,215,1,false,1024,8,3580,1,,,1521
2691,2691,4,4437,2691,true,false,2691,1403,true,false,4437,2691,1,YASSIN,71627,215,1,false,1026,8,3582,1,,,1521
3748,3748,3,4440,3748,true,false,3748,1403,true,false,4440,3748,1,COBALT REFINERY CO. INC.,6800,215,1,false,151982,25,201982,1,,1982,1525
3749,3749,3,4441,3749,false,false,3749,1400,false,false,13235,3749,2,GENERAL NICKEL SA,19472,215,1,false,151983,25,201983,1,,1983,1525
3750,3750,3,4442,3750,true,false,3750,1403,true,false,4442,3750,1,INTERNATIONAL COBALT CO. INC.,6802,215,1,false,151984,25,201984,1,,1984,1525
3751,3751,3,4443,3751,true,false,3751,1403,true,false,4443,3751,1,MOA NICKEL SA,6803,215,1,false,151985,25,201985,1,,1985,1525
3754,3754,4,4445,3754,false,false,3754,1400,false,false,13245,3754,2,MARZOUK,19491,215,1,false,1029,8,3585,1,,,1521
4107,4107,4,4447,4107,false,false,4107,1400,false,true,13249,4107,2,Lucas,19495,215,1,false,1033,8,3589,1,,,1520
4108,4108,4,4448,4108,false,false,4108,1400,false,true,13259,4108,2,Doctor M.R.O.,19505,215,1,false,1034,8,3590,1,,,1520
4238,4238,1,1663,4238,true,false,4238,1403,true,false,1663,4238,1,MAR AZUL,2489,215,1,false,10272,1,7125,1560,,,1526
4243,4243,1,1668,4243,false,false,4243,1401,false,true,45388,4243,2,SAND SWAN,85754,215,1,false,10326,3,7179,1560,,,1526
4249,4249,1,1674,4249,true,false,4249,1403,true,false,1674,4249,1,TIFON,2500,215,1,false,10283,1,7136,1560,,,1526
4257,4257,4,1679,4257,false,false,4257,1400,false,false,9768,4257,2,SHALLAH,14537,215,1,false,1061,8,1341,1,,,1521
4632,4632,3,751,4632,false,false,4632,1400,false,false,11874,4632,2,CENTRAL BANK OF IRAN,17557,215,1,false,30012,125,27751,1,,,1525
4633,4633,3,752,4633,false,false,4633,1400,false,false,11875,4633,2,HOUSING BANK - OF IRAN,17558,215,1,false,37293,125,35012,1,,,1525
4635,4635,3,755,4635,false,false,4635,1400,false,false,11877,4635,2,BANK REFAH,17560,215,1,false,37294,125,35013,1,,,1525
4639,4639,3,5045,4639,false,false,4639,1400,false,false,13867,4639,2,BANK KESHAVARZI,20398,215,1,false,37292,125,35011,1,,,1525
4642,4642,3,2773,4642,false,false,4642,1401,false,false,9408,4642,2,IRAN OVERSEAS INVESTMENT BANK LIMITED,14067,215,1,false,14266,125,12009,1560,,,1525
4688,4688,3,2792,4688,false,false,4688,1400,false,false,9439,4688,2,AL HARAKAT AL ISLAMIYYA,14098,215,1,false,152921,25,202921,1,,2921,1525
4690,4690,3,2794,4690,false,false,4690,1400,false,false,9446,4690,2,AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH,14105,215,1,false,152923,25,202923,1,,2923,1525
4691,4691,3,2795,4691,false,false,4691,1400,false,false,9450,4691,2,ALEPH,14109,215,1,false,152924,25,202924,1,,2924,1525
4693,4693,3,2796,4693,false,false,4693,1400,false,false,9462,4693,2,POPULAR REVOLUTIONARY STRUGGLE,14121,215,1,false,152925,25,202925,1,,2925,1525
4694,4694,3,2797,4694,false,false,4694,1400,false,true,9468,4694,2,GI,27452,215,1,false,152926,25,202926,1,,2926,1525
4695,4695,3,2798,4695,false,false,4695,1400,false,false,9479,4695,2,IZZ AL-DIN AL QASSAM BATTALIONS,14138,215,1,false,152927,25,202927,1,,2927,1525
4696,4696,3,2799,4696,false,false,4696,1400,false,false,19679,4696,2,Ansar-ul-Ummah,35183,215,1,false,152928,25,202928,1,,2928,1525
4697,4697,3,2800,4697,false,false,4697,1400,false,false,29022,4697,2,External Security Organization of Hezbollah,56223,215,1,false,20151,125,17890,1,,,1525
4700,4700,3,2801,4700,false,false,4700,1400,false,true,9535,4700,2,CARD,14194,215,1,false,152932,25,202932,1,,2932,1525
4702,4702,3,2802,4702,false,false,4702,1400,false,true,9548,4702,2,KHK,14207,215,1,false,152934,25,202934,1,,2934,1525
4703,4703,3,2803,4703,false,false,4703,1400,false,false,9551,4703,2,ELLALAN FORCE,14210,215,1,false,152935,25,202935,1,,2935,1525
4706,4706,3,3655,4706,false,false,4706,1400,false,false,15028,4706,2,EJERCITO DE LIBERACION NACIONAL,22033,215,1,false,152938,25,202938,1,,2938,1525
4707,4707,3,3582,4707,false,false,4707,1400,false,false,14934,4707,2,AL-AWDAH BRIGADES,21938,215,1,false,152939,25,202939,1,,2939,1525
4708,4708,3,3583,4708,false,false,4708,1400,false,false,14937,4708,2,PLF-ABU ABBAS,21941,215,1,false,152940,25,202940,1,,2940,1525
4709,4709,3,3584,4709,false,false,4709,1400,false,false,14946,4709,2,MARTYR ABU-ALI MUSTAFA BATTALION,21950,215,1,false,152941,25,202941,1,,2941,1525
4710,4710,3,3585,4710,false,false,4710,1400,false,false,14947,4710,2,PFLP-GC,21951,215,1,false,152942,25,202942,1,,2942,1525
4713,4713,3,3588,4713,false,false,4713,1400,false,false,14959,4713,2,DEV SOL ARMED REVOLUTIONARY UNITS,21963,215,1,false,152945,25,202945,1,,2945,1525
4714,4714,3,3589,4714,false,false,4714,1400,false,false,14968,4714,2,LIBERATION STRUGGLE,21972,215,1,false,152946,25,202946,1,,2946,1525
4715,4715,3,3590,4715,false,false,4715,1400,false,false,14984,4715,2,PEOPLE'S LIBERATION ARMY,21988,215,1,false,152947,25,202947,1,,2947,1525
4717,4717,3,3591,4717,false,false,4717,1400,false,false,14988,4717,2,RED STAR BATTALIONS,21992,215,1,false,152949,25,202949,1,,2949,1525
6365,6365,4,3539,6365,false,false,6365,1400,false,false,14895,6365,2,BIN LADIN,21895,215,1,false,1120,8,3104,1,,,1521
6366,6366,3,3540,6366,false,false,6366,1400,false,false,23797,6366,2,ISLAMIC ARMY,45611,215,1,false,153873,25,203873,1,,3873,1525
6367,6367,4,5746,6367,false,false,6367,1400,false,false,13109,6367,2,ATIF,19283,215,1,false,1124,8,5152,1,,,1521
6368,6368,4,3541,6368,false,false,6368,1400,false,false,14919,6368,2,THABIT 'IZ,21923,215,1,false,1128,8,3108,1,,,1520
6531,6531,3,3083,6531,false,false,6531,1400,false,false,14354,6531,2,COLCERDOS LTDA.,21197,215,1,false,153969,25,203969,1,,3969,1525
6539,6539,3,3091,6539,false,false,6539,1400,false,false,14361,6539,2,D'ELCON S.A.,21204,215,1,false,153985,25,203985,1,,3985,1525
6550,6550,3,3102,6550,true,false,6550,1403,true,false,3102,6550,1,MATADERO METROPOLITANO LTDA.,4850,215,1,false,154000,25,204000,1,,4000,1525
6635,6635,4,3005,6635,true,false,6635,1403,true,false,3005,6635,1,OMAR,4727,215,1,false,1134,8,2681,1,,,1521
6636,6636,3,3006,6636,false,false,6636,1400,false,false,14294,6636,2,TALIBANO ISLAMI TAHRIK,21093,215,1,false,154475,25,204475,1,,4475,1525
6663,6663,3,3013,6663,false,false,6663,1400,false,false,14299,6663,2,COMECARNES LTDA.,21099,215,1,false,154516,25,204516,1,,4516,1525
6680,6680,3,3030,6680,false,false,6680,1400,false,false,14304,6680,2,DIAGNOSTICENTRO LA GARANTIA,21104,215,1,false,154544,25,204544,1,,4544,1525
