ID,From-ProfileID,To-ProfileID,RelationTypeID,RelationQualityID,Former,SanctionsEntryID
7749,25933,16034,15003,1,false,25933
7747,25934,16034,15003,1,false,25934
7752,25935,16034,15003,1,false,25935
7748,25936,16034,15003,1,false,25936
7754,25937,16034,15003,1,false,25937
7750,25938,16034,15003,1,false,25938
7757,25939,16034,15003,1,false,25939
7759,25940,16034,15003,1,false,25940
7751,25941,16034,15003,1,false,25941
7761,25942,16034,15003,1,false,25942
7763,25943,16034,15003,1,false,25943
7753,25944,16034,15003,1,false,25944
7764,25945,16034,15003,1,false,25945
7755,25946,16034,15003,1,false,25946
7756,25947,16034,15003,1,false,25947
7766,25948,16034,15003,1,false,25948
7758,25949,16034,15003,1,false,25949
7767,25950,16034,15003,1,false,25950
7760,25951,16034,15003,1,false,25951
7762,25952,16034,15003,1,false,25952
7768,25953,16034,15003,1,false,25953
7765,25954,16034,15003,1,false,25954
7769,25955,16034,15003,1,false,25955
7770,25956,16034,15003,1,false,25956
7771,25957,16034,15003,1,false,25957
7772,25958,16034,15003,1,false,25958
7773,25959,16034,15003,1,false,25959
7774,25960,16034,15003,1,false,25960
7775,25961,16034,15003,1,false,25961
7776,25962,16034,15003,1,false,25962
7777,25963,16034,15003,1,false,25963
7778,25964,16034,15003,1,false,25964
7779,25965,16034,15003,1,false,25965
7780,25966,16034,15003,1,false,25966
7781,25967,16034,15003,1,false,25967
7782,25968,16034,15003,1,false,25968
7783,25969,16034,15003,1,false,25969
7784,25970,16034,15003,1,false,25970
7785,25971,16034,15003,1,false,25971
7811,26017,25627,15003,1,false,26017
7871,26037,4697,1555,1,false,26037
7852,26057,4697,15001,1,false,26057
7851,26057,10465,15002,1,false,26057
7853,26058,4697,15002,1,false,26058
7854,26059,4697,15001,1,false,26059
7855,26060,4697,15002,1,false,26060
7872,26096,22606,15002,1,false,26096
8041,26097,21844,15003,1,false,26097
8040,26097,21845,15003,1,false,26097
8043,26098,21844,15003,1,false,26098
8042,26098,21845,15003,1,false,26098
8046,26099,21844,15003,1,false,26099
8045,26099,21845,15003,1,false,26099
7877,26100,26119,15001,1540,false,26100
7875,26118,12870,15001,1,false,26118
7873,26119,16908,15001,1,false,26119
7885,26119,26120,15003,1,false,26119
7884,26120,4697,15001,1,false,26120
7883,26120,10465,15001,1,false,26120
7874,26120,26119,15002,1,false,26120
7876,26121,26118,15002,1,false,26121
7882,26122,4697,15002,1,false,26122
7879,26123,10465,15002,1,false,26123
7880,26126,10465,15002,1,false,26126
7898,26139,26150,15003,1,false,26139
7899,26139,26151,15003,1,false,26139
7900,26139,26152,15003,1,false,26139
7901,26139,26153,15003,1,false,26139
7891,26141,26140,15002,1,false,26141
7892,26142,26140,15001,1,false,26142
7897,26142,26154,15003,1,false,26142
7893,26143,26140,15001,1,false,26143
7894,26144,26140,15001,1,false,26144
7902,26144,26149,15003,1,false,26144
8336,26148,26140,15001,1,false,26148
7927,26170,21343,15002,1,false,26170
7928,26171,21343,15002,1,false,26171
7929,26173,21343,15002,1,false,26173
7930,26174,26172,15003,1,false,26174
7931,26175,26172,15003,1,false,26175
7933,26176,26172,15003,1,false,26176
7932,26177,21343,15002,1,false,26177
7934,26178,21343,15002,1,false,26178
7935,26179,21343,15002,1,false,26179
7936,26180,21343,15002,1,false,26180
7937,26183,21343,15002,1,false,26183
7939,26185,21343,15002,1,false,26185
7940,26186,21343,15002,1,false,26186
7942,26188,21343,15002,1,false,26188
7944,26190,21343,15002,1,false,26190
7945,26191,21343,15002,1,false,26191
7946,26192,21343,15002,1,false,26192
7947,26193,21343,15002,1,false,26193
7948,26194,24283,15002,1,false,26194
7977,26201,26199,15003,1,false,26201
7978,26202,26199,15003,1,false,26202
7979,26203,26199,15003,1,false,26203
7980,26204,26199,15003,1,false,26204
7985,26205,26200,15003,1,false,26205
7987,26206,26200,15003,1,false,26206
7988,26207,26200,15003,1,false,26207
8000,26208,26199,15003,1,false,26208
8001,26208,26200,15003,1,false,26208
7991,26209,26199,15003,1,false,26209
7992,26210,26199,15003,1,false,26210
7993,26211,26200,15003,1,false,26211
7994,26212,26200,15003,1,false,26212
7995,26213,26200,15003,1,false,26213
7996,26214,26199,15003,1,false,26214
7997,26214,26200,15003,1,false,26214
8018,26215,26200,15003,1,false,26215
8017,26216,26200,15003,1,false,26216
7990,26217,26199,15003,1,false,26217
7998,26218,26199,15003,1,false,26218
7999,26218,26200,15003,1,false,26218
8004,26219,26199,15003,1,false,26219
8010,26220,26199,15003,1,false,26220
8011,26220,26200,15003,1,false,26220
8002,26221,26199,15003,1,false,26221
8003,26221,26200,15003,1,false,26221
7989,26222,26200,15003,1,false,26222
7957,26230,22526,15002,1,false,26230
7958,26231,22526,15002,1,false,26231
7959,26232,22526,15002,1,false,26232
7960,26233,22526,15002,1,false,26233
7961,26234,26232,15003,1,false,26234
10650,26235,21171,15002,1,false,26235
7962,26235,26234,15002,1,false,26235
8012,26263,26199,15003,1,false,26263
8048,26343,12927,15002,1,false,26343
8050,26344,10465,15001,1,false,26344
8049,26344,12927,15003,1,false,26344
8051,26345,26344,15003,1,false,26345
8052,26346,26344,15003,1,false,26346
8053,26347,10465,15001,1,false,26347
8054,26348,10465,15001,1,false,26348
8061,26383,10465,15001,1,false,26383
8057,26384,26383,15002,1,false,26384
8058,26385,26383,15002,1,false,26385
8059,26386,26383,15002,1,false,26386
8060,26387,26383,15002,1,false,26387
8064,26390,23475,15001,1,false,26390
18951,26391,23475,91725,1,false,26391
8066,26392,26390,15002,1,false,26392
8067,26393,26390,15002,1,false,26393
8068,26394,26390,15002,1,false,26394
8071,26396,26390,15001,1,false,26396
8081,26402,26465,15003,1,false,26402
8082,26402,26466,15003,1,false,26402
8083,26402,26467,15003,1,false,26402
8084,26402,26468,15003,1,false,26402
8077,26407,26470,15003,1,false,26407
8078,26407,26471,15003,1,false,26407
8079,26408,26469,15002,1,false,26408
8080,26408,26470,15002,1,false,26408
8097,26503,26367,15001,1,false,26503
8156,26526,12478,15002,1,false,26526
8157,26527,12478,15003,1,false,26527
8158,26528,12478,15003,1,false,26528
8159,26529,12478,15003,1,false,26529
8162,26530,10391,15001,1,false,26530
8161,26530,10465,15001,1,false,26530
8160,26530,12478,15003,1,false,26530
8163,26531,26530,15002,1,false,26531
8164,26532,10392,15001,1,false,26532
8165,26532,26531,15003,1,false,26532
8167,26533,10392,15001,1,false,26533
8166,26533,26532,15002,1,false,26533
8168,26534,26531,15002,1,false,26534
8173,26535,26537,15003,1,false,26535
8169,26536,26530,15001,1,false,26536
8172,26537,26538,1555,1,false,26537
8171,26538,26530,15001,1,false,26538
8170,26539,26536,15002,1,false,26539
8175,26540,26541,15003,1,false,26540
8174,26541,26530,15001,1,false,26541
8176,26542,26539,15003,1,false,26542
8177,26544,26539,15003,1,false,26544
8118,26545,17223,15003,1,false,26545
8119,26546,26545,15002,1,false,26546
8178,26547,10392,15001,1,false,26547
8179,26547,26530,15001,1,false,26547
8120,26548,26545,15001,1,false,26548
8121,26550,26545,15001,1,false,26550
8180,26551,26530,15001,1,false,26551
8122,26553,17223,15003,1,false,26553
8123,26555,17223,15003,1,false,26555
8183,26556,26560,15003,1,false,26556
8124,26557,17223,15003,1,false,26557
8125,26558,17223,15003,1,false,26558
8126,26559,17223,15001,1,false,26559
8182,26560,26530,15001,1,false,26560
8127,26561,17223,15003,1,false,26561
8128,26562,17223,15003,1,false,26562
8129,26564,17223,15003,1,false,26564
8130,26565,17223,15001,1,false,26565
8131,26566,17223,15001,1,false,26566
8132,26567,17223,15001,1,false,26567
8133,26568,26567,15002,1,false,26568
8134,26569,26567,15001,1,false,26569
8135,26570,17223,15002,1,false,26570
8136,26571,17223,15003,1,false,26571
8138,26573,17223,15002,1,false,26573
8139,26574,17223,15003,1,false,26574
8140,26575,17223,15003,1,false,26575
8141,26576,17223,15002,1,false,26576
8142,26578,26545,15001,1,false,26578
8143,26579,26574,15001,1,false,26579
8148,26580,26574,15002,1,false,26580
8144,26581,17223,15003,1,false,26581
8145,26582,17223,15001,1,false,26582
8146,26583,17223,15002,1,false,26583
8147,26584,26581,15002,1,false,26584
8150,26588,26587,15003,1,false,26588
8152,26590,26587,15003,1,false,26590
8151,26591,26587,15003,1,false,26591
8184,26592,26530,15001,1,false,26592
8226,26623,26367,15003,1,false,26623
8198,26624,26367,15003,1,false,26624
8197,26625,26367,15003,1,false,26625
8199,26626,26367,15003,1,false,26626
8200,26627,26367,15003,1,false,26627
8225,26628,26367,15003,1,false,26628
8201,26629,26367,15003,1,false,26629
8202,26630,26367,15003,1,false,26630
8224,26631,26367,15003,1,false,26631
8203,26632,26367,15003,1,false,26632
8204,26633,26367,15003,1,false,26633
8207,26636,26367,15003,1,false,26636
8208,26637,26367,15003,1,false,26637
8209,26638,26367,15003,1,false,26638
8234,26639,26367,15003,1,false,26639
8210,26640,26367,15003,1,false,26640
8211,26641,26367,15003,1,false,26641
8212,26642,26367,15003,1,false,26642
8213,26643,26367,15003,1,false,26643
8214,26644,26367,15003,1,false,26644
8215,26645,26367,15003,1,false,26645
8216,26646,26367,15003,1,false,26646
8217,26647,26367,15003,1,false,26647
8219,26649,26367,15003,1,false,26649
8220,26650,26367,15003,1,false,26650
8221,26651,26367,15003,1,false,26651
8222,26652,26367,15003,1,false,26652
8223,26653,26367,15003,1,false,26653
8227,26655,26367,15003,1,false,26655
